matchup,engine_a,engine_b,wins,draws,losses,engine_a_score,ci95_low,ci95_high,engine_a_realized_elo,engine_a_white_score,engine_a_black_score,nominal_gap,higher_rated_realized_gap,compression_ratio,mean_plies,median_plies,config_hash,pgn
maia2-1100__vs__maia2-1300,MAIA2 1100,MAIA2 1300,46,74,80,0.415000,0.365000,0.465000,-59.643,0.420000,0.410000,200,59.643,0.298216,83.150,78.0,d31e41e2b8428d226fa6c3501db2c5191b8533cad5e937ee561da25ccbbc228e,maia2-1100__vs__maia2-1300.pgn
maia2-1100__vs__maia2-1900,MAIA2 1100,MAIA2 1900,28,67,105,0.307500,0.262500,0.352500,-141.030,0.315000,0.300000,800,141.030,0.176287,78.105,71.0,e7c547d38239665c24b6a56247ca4258695ef3de8f36e62ea52aabf448d3c908,maia2-1100__vs__maia2-1900.pgn
maia2-1100__vs__maia3-1100,MAIA2 1100,MAIA3 1100,74,49,77,0.492500,0.432500,0.552500,-5.212,0.520000,0.465000,,,,75.860,71.0,8dff2e81470ab9089fe36e3e5af8f44a98ba6e1cce9f14bf0d9a329d4f738058,maia2-1100__vs__maia3-1100.pgn
maia2-1300__vs__maia2-1500,MAIA2 1300,MAIA2 1500,64,64,72,0.480000,0.427500,0.532500,-13.905,0.550000,0.410000,200,13.905,0.069524,84.330,77.0,dd138885e90dd6287983f9d26a800af2ad606a71f23d160f731eeb776a2e6f65,maia2-1300__vs__maia2-1500.pgn
maia2-1300__vs__maia3-1300,MAIA2 1300,MAIA3 1300,76,48,76,0.500000,0.437500,0.562500,0.000,0.515000,0.485000,,,,83.190,80.0,42236c077000bab80baed6a77e75a6811f03ebfda4fc2da360b4b5a81b37b499,maia2-1300__vs__maia3-1300.pgn
maia2-1500__vs__maia2-1700,MAIA2 1500,MAIA2 1700,49,69,82,0.417500,0.365000,0.470000,-57.856,0.450000,0.385000,200,57.856,0.289279,83.200,80.0,f506ec4f46ec7b115dd63afb1234fe5c382a0ed37d38343ef881a7e86b95a4af,maia2-1500__vs__maia2-1700.pgn
maia2-1500__vs__maia3-1500,MAIA2 1500,MAIA3 1500,67,43,90,0.442500,0.380000,0.505000,-40.133,0.465000,0.420000,,,,82.545,79.5,d93ab666c96efa7ebdd174874b8ce868fb02c9c5a28161a756735a2e1fe40b1b,maia2-1500__vs__maia3-1500.pgn
maia2-1700__vs__maia2-1900,MAIA2 1700,MAIA2 1900,64,66,70,0.485000,0.430000,0.540000,-10.426,0.480000,0.490000,200,10.426,0.052131,87.615,83.0,cde579021c1d63968668b841dacae24b4808be6b7e49c5239e1b4da8327d4ebd,maia2-1700__vs__maia2-1900.pgn
maia2-1700__vs__maia3-1700,MAIA2 1700,MAIA3 1700,46,57,97,0.372500,0.317500,0.427500,-90.595,0.410000,0.335000,,,,90.175,88.5,8768409b3362b7e491d33978c9cc6d0a81ca7d36365fd0731596d821d9316edb,maia2-1700__vs__maia3-1700.pgn
maia2-1900__vs__maia3-1900,MAIA2 1900,MAIA3 1900,36,46,118,0.295000,0.245000,0.347500,-151.347,0.310000,0.280000,,,,93.740,94.0,d915e69ae7c67086d89e198177e30ae98f60459ab37f1dae3d13f001c2e54425,maia2-1900__vs__maia3-1900.pgn
maia3-1100__vs__maia3-1300,MAIA3 1100,MAIA3 1300,46,51,103,0.357500,0.300000,0.415000,-101.839,0.375000,0.340000,200,101.839,0.509194,77.805,72.0,0af5f90ceb971503c58dab7a1a68ad6439acdff5a371ea43477b45b2f800eb6a,maia3-1100__vs__maia3-1300.pgn
maia3-1100__vs__maia3-1900,MAIA3 1100,MAIA3 1900,14,14,172,0.105000,0.070000,0.142500,-372.253,0.145000,0.065000,800,372.253,0.465317,83.610,80.0,a5868b9f6971abfceab45ed4181616c0e34c042765cd4a9006ebbc36f3bf51d0,maia3-1100__vs__maia3-1900.pgn
maia3-1300__vs__maia3-1500,MAIA3 1300,MAIA3 1500,56,44,100,0.390000,0.337500,0.442500,-77.706,0.420000,0.360000,200,77.706,0.388530,79.330,74.5,d8c278d9517e02098e1c9ea6e3f49ebda132bf39bddacb905f79e89bfa3d0266,maia3-1300__vs__maia3-1500.pgn
maia3-1500__vs__maia3-1700,MAIA3 1500,MAIA3 1700,49,33,118,0.327500,0.270000,0.387500,-124.992,0.290000,0.365000,200,124.992,0.624962,89.620,91.0,08bd640714a5e5e65f236d0407399912e4eef343d31d8140a3b99db5f19becc0,maia3-1500__vs__maia3-1700.pgn
maia3-1700__vs__maia3-1900,MAIA3 1700,MAIA3 1900,59,38,103,0.390000,0.332500,0.450000,-77.706,0.440000,0.340000,200,77.706,0.388530,96.985,95.5,e179bde0d13eb2efe421265a9266dab1a0410e4db5c3bfa027f6fab3ad8d30d1,maia3-1700__vs__maia3-1900.pgn
