matchup,round,opening_index,low_player,high_player,low_rating,high_rating,low_color,white,black,white_elo,black_elo,result,low_score,termination,plies,full_moves,config_hash,opening_suite,source_pgn
maia3-1600__vs__maia3-2100,1,1,MAIA3 1600,MAIA3 2100,1600,2100,White,MAIA3 1600,MAIA3 2100,1600,2100,0-1,0.0,checkmate,74,37,1e291f3bf1c4180d559b85da91adb80d50b072d9681173eb1b49984378831a62,maia-relative-strength-100.pgn,maia3-1600__vs__maia3-2100.pgn
maia3-1600__vs__maia3-2100,2,1,MAIA3 1600,MAIA3 2100,1600,2100,Black,MAIA3 2100,MAIA3 1600,2100,1600,1-0,0.0,checkmate,51,26,1e291f3bf1c4180d559b85da91adb80d50b072d9681173eb1b49984378831a62,maia-relative-strength-100.pgn,maia3-1600__vs__maia3-2100.pgn
maia3-1600__vs__maia3-2100,3,2,MAIA3 1600,MAIA3 2100,1600,2100,White,MAIA3 1600,MAIA3 2100,1600,2100,0-1,0.0,checkmate,92,46,1e291f3bf1c4180d559b85da91adb80d50b072d9681173eb1b49984378831a62,maia-relative-strength-100.pgn,maia3-1600__vs__maia3-2100.pgn
maia3-1600__vs__maia3-2100,4,2,MAIA3 1600,MAIA3 2100,1600,2100,Black,MAIA3 2100,MAIA3 1600,2100,1600,1-0,0.0,checkmate,67,34,1e291f3bf1c4180d559b85da91adb80d50b072d9681173eb1b49984378831a62,maia-relative-strength-100.pgn,maia3-1600__vs__maia3-2100.pgn
maia3-1600__vs__maia3-2100,5,3,MAIA3 1600,MAIA3 2100,1600,2100,White,MAIA3 1600,MAIA3 2100,1600,2100,1/2-1/2,0.5,threefold repetition,77,39,1e291f3bf1c4180d559b85da91adb80d50b072d9681173eb1b49984378831a62,maia-relative-strength-100.pgn,maia3-1600__vs__maia3-2100.pgn
maia3-1600__vs__maia3-2100,6,3,MAIA3 1600,MAIA3 2100,1600,2100,Black,MAIA3 2100,MAIA3 1600,2100,1600,1-0,0.0,checkmate,43,22,1e291f3bf1c4180d559b85da91adb80d50b072d9681173eb1b49984378831a62,maia-relative-strength-100.pgn,maia3-1600__vs__maia3-2100.pgn
maia3-1600__vs__maia3-2100,7,4,MAIA3 1600,MAIA3 2100,1600,2100,White,MAIA3 1600,MAIA3 2100,1600,2100,0-1,0.0,checkmate,84,42,1e291f3bf1c4180d559b85da91adb80d50b072d9681173eb1b49984378831a62,maia-relative-strength-100.pgn,maia3-1600__vs__maia3-2100.pgn
maia3-1600__vs__maia3-2100,8,4,MAIA3 1600,MAIA3 2100,1600,2100,Black,MAIA3 2100,MAIA3 1600,2100,1600,1-0,0.0,checkmate,55,28,1e291f3bf1c4180d559b85da91adb80d50b072d9681173eb1b49984378831a62,maia-relative-strength-100.pgn,maia3-1600__vs__maia3-2100.pgn
maia3-1600__vs__maia3-2100,9,5,MAIA3 1600,MAIA3 2100,1600,2100,White,MAIA3 1600,MAIA3 2100,1600,2100,0-1,0.0,checkmate,26,13,1e291f3bf1c4180d559b85da91adb80d50b072d9681173eb1b49984378831a62,maia-relative-strength-100.pgn,maia3-1600__vs__maia3-2100.pgn
maia3-1600__vs__maia3-2100,10,5,MAIA3 1600,MAIA3 2100,1600,2100,Black,MAIA3 2100,MAIA3 1600,2100,1600,1/2-1/2,0.5,threefold repetition,98,49,1e291f3bf1c4180d559b85da91adb80d50b072d9681173eb1b49984378831a62,maia-relative-strength-100.pgn,maia3-1600__vs__maia3-2100.pgn
maia3-1600__vs__maia3-2100,11,6,MAIA3 1600,MAIA3 2100,1600,2100,White,MAIA3 1600,MAIA3 2100,1600,2100,0-1,0.0,checkmate,76,38,1e291f3bf1c4180d559b85da91adb80d50b072d9681173eb1b49984378831a62,maia-relative-strength-100.pgn,maia3-1600__vs__maia3-2100.pgn
maia3-1600__vs__maia3-2100,12,6,MAIA3 1600,MAIA3 2100,1600,2100,Black,MAIA3 2100,MAIA3 1600,2100,1600,1-0,0.0,checkmate,31,16,1e291f3bf1c4180d559b85da91adb80d50b072d9681173eb1b49984378831a62,maia-relative-strength-100.pgn,maia3-1600__vs__maia3-2100.pgn
maia3-1600__vs__maia3-2100,13,7,MAIA3 1600,MAIA3 2100,1600,2100,White,MAIA3 1600,MAIA3 2100,1600,2100,0-1,0.0,checkmate,64,32,1e291f3bf1c4180d559b85da91adb80d50b072d9681173eb1b49984378831a62,maia-relative-strength-100.pgn,maia3-1600__vs__maia3-2100.pgn
maia3-1600__vs__maia3-2100,14,7,MAIA3 1600,MAIA3 2100,1600,2100,Black,MAIA3 2100,MAIA3 1600,2100,1600,1-0,0.0,checkmate,45,23,1e291f3bf1c4180d559b85da91adb80d50b072d9681173eb1b49984378831a62,maia-relative-strength-100.pgn,maia3-1600__vs__maia3-2100.pgn
maia3-1600__vs__maia3-2100,15,8,MAIA3 1600,MAIA3 2100,1600,2100,White,MAIA3 1600,MAIA3 2100,1600,2100,0-1,0.0,checkmate,112,56,1e291f3bf1c4180d559b85da91adb80d50b072d9681173eb1b49984378831a62,maia-relative-strength-100.pgn,maia3-1600__vs__maia3-2100.pgn
maia3-1600__vs__maia3-2100,16,8,MAIA3 1600,MAIA3 2100,1600,2100,Black,MAIA3 2100,MAIA3 1600,2100,1600,1-0,0.0,checkmate,51,26,1e291f3bf1c4180d559b85da91adb80d50b072d9681173eb1b49984378831a62,maia-relative-strength-100.pgn,maia3-1600__vs__maia3-2100.pgn
maia3-1600__vs__maia3-2100,17,9,MAIA3 1600,MAIA3 2100,1600,2100,White,MAIA3 1600,MAIA3 2100,1600,2100,0-1,0.0,checkmate,90,45,1e291f3bf1c4180d559b85da91adb80d50b072d9681173eb1b49984378831a62,maia-relative-strength-100.pgn,maia3-1600__vs__maia3-2100.pgn
maia3-1600__vs__maia3-2100,18,9,MAIA3 1600,MAIA3 2100,1600,2100,Black,MAIA3 2100,MAIA3 1600,2100,1600,1-0,0.0,checkmate,137,69,1e291f3bf1c4180d559b85da91adb80d50b072d9681173eb1b49984378831a62,maia-relative-strength-100.pgn,maia3-1600__vs__maia3-2100.pgn
maia3-1600__vs__maia3-2100,19,10,MAIA3 1600,MAIA3 2100,1600,2100,White,MAIA3 1600,MAIA3 2100,1600,2100,1/2-1/2,0.5,threefold repetition,139,70,1e291f3bf1c4180d559b85da91adb80d50b072d9681173eb1b49984378831a62,maia-relative-strength-100.pgn,maia3-1600__vs__maia3-2100.pgn
maia3-1600__vs__maia3-2100,20,10,MAIA3 1600,MAIA3 2100,1600,2100,Black,MAIA3 2100,MAIA3 1600,2100,1600,1-0,0.0,checkmate,97,49,1e291f3bf1c4180d559b85da91adb80d50b072d9681173eb1b49984378831a62,maia-relative-strength-100.pgn,maia3-1600__vs__maia3-2100.pgn
maia3-1600__vs__maia3-2100,21,11,MAIA3 1600,MAIA3 2100,1600,2100,White,MAIA3 1600,MAIA3 2100,1600,2100,0-1,0.0,checkmate,104,52,1e291f3bf1c4180d559b85da91adb80d50b072d9681173eb1b49984378831a62,maia-relative-strength-100.pgn,maia3-1600__vs__maia3-2100.pgn
maia3-1600__vs__maia3-2100,22,11,MAIA3 1600,MAIA3 2100,1600,2100,Black,MAIA3 2100,MAIA3 1600,2100,1600,1-0,0.0,checkmate,71,36,1e291f3bf1c4180d559b85da91adb80d50b072d9681173eb1b49984378831a62,maia-relative-strength-100.pgn,maia3-1600__vs__maia3-2100.pgn
maia3-1600__vs__maia3-2100,23,12,MAIA3 1600,MAIA3 2100,1600,2100,White,MAIA3 1600,MAIA3 2100,1600,2100,0-1,0.0,checkmate,116,58,1e291f3bf1c4180d559b85da91adb80d50b072d9681173eb1b49984378831a62,maia-relative-strength-100.pgn,maia3-1600__vs__maia3-2100.pgn
maia3-1600__vs__maia3-2100,24,12,MAIA3 1600,MAIA3 2100,1600,2100,Black,MAIA3 2100,MAIA3 1600,2100,1600,1-0,0.0,checkmate,33,17,1e291f3bf1c4180d559b85da91adb80d50b072d9681173eb1b49984378831a62,maia-relative-strength-100.pgn,maia3-1600__vs__maia3-2100.pgn
maia3-1600__vs__maia3-2100,25,13,MAIA3 1600,MAIA3 2100,1600,2100,White,MAIA3 1600,MAIA3 2100,1600,2100,0-1,0.0,checkmate,114,57,1e291f3bf1c4180d559b85da91adb80d50b072d9681173eb1b49984378831a62,maia-relative-strength-100.pgn,maia3-1600__vs__maia3-2100.pgn
maia3-1600__vs__maia3-2100,26,13,MAIA3 1600,MAIA3 2100,1600,2100,Black,MAIA3 2100,MAIA3 1600,2100,1600,1-0,0.0,checkmate,113,57,1e291f3bf1c4180d559b85da91adb80d50b072d9681173eb1b49984378831a62,maia-relative-strength-100.pgn,maia3-1600__vs__maia3-2100.pgn
maia3-1600__vs__maia3-2100,27,14,MAIA3 1600,MAIA3 2100,1600,2100,White,MAIA3 1600,MAIA3 2100,1600,2100,0-1,0.0,checkmate,24,12,1e291f3bf1c4180d559b85da91adb80d50b072d9681173eb1b49984378831a62,maia-relative-strength-100.pgn,maia3-1600__vs__maia3-2100.pgn
maia3-1600__vs__maia3-2100,28,14,MAIA3 1600,MAIA3 2100,1600,2100,Black,MAIA3 2100,MAIA3 1600,2100,1600,0-1,1.0,checkmate,52,26,1e291f3bf1c4180d559b85da91adb80d50b072d9681173eb1b49984378831a62,maia-relative-strength-100.pgn,maia3-1600__vs__maia3-2100.pgn
maia3-1600__vs__maia3-2100,29,15,MAIA3 1600,MAIA3 2100,1600,2100,White,MAIA3 1600,MAIA3 2100,1600,2100,0-1,0.0,checkmate,126,63,1e291f3bf1c4180d559b85da91adb80d50b072d9681173eb1b49984378831a62,maia-relative-strength-100.pgn,maia3-1600__vs__maia3-2100.pgn
maia3-1600__vs__maia3-2100,30,15,MAIA3 1600,MAIA3 2100,1600,2100,Black,MAIA3 2100,MAIA3 1600,2100,1600,1-0,0.0,checkmate,101,51,1e291f3bf1c4180d559b85da91adb80d50b072d9681173eb1b49984378831a62,maia-relative-strength-100.pgn,maia3-1600__vs__maia3-2100.pgn
maia3-1600__vs__maia3-2100,31,16,MAIA3 1600,MAIA3 2100,1600,2100,White,MAIA3 1600,MAIA3 2100,1600,2100,0-1,0.0,checkmate,116,58,1e291f3bf1c4180d559b85da91adb80d50b072d9681173eb1b49984378831a62,maia-relative-strength-100.pgn,maia3-1600__vs__maia3-2100.pgn
maia3-1600__vs__maia3-2100,32,16,MAIA3 1600,MAIA3 2100,1600,2100,Black,MAIA3 2100,MAIA3 1600,2100,1600,1-0,0.0,checkmate,47,24,1e291f3bf1c4180d559b85da91adb80d50b072d9681173eb1b49984378831a62,maia-relative-strength-100.pgn,maia3-1600__vs__maia3-2100.pgn
maia3-1600__vs__maia3-2100,33,17,MAIA3 1600,MAIA3 2100,1600,2100,White,MAIA3 1600,MAIA3 2100,1600,2100,0-1,0.0,checkmate,88,44,1e291f3bf1c4180d559b85da91adb80d50b072d9681173eb1b49984378831a62,maia-relative-strength-100.pgn,maia3-1600__vs__maia3-2100.pgn
maia3-1600__vs__maia3-2100,34,17,MAIA3 1600,MAIA3 2100,1600,2100,Black,MAIA3 2100,MAIA3 1600,2100,1600,1-0,0.0,checkmate,155,78,1e291f3bf1c4180d559b85da91adb80d50b072d9681173eb1b49984378831a62,maia-relative-strength-100.pgn,maia3-1600__vs__maia3-2100.pgn
maia3-1600__vs__maia3-2100,35,18,MAIA3 1600,MAIA3 2100,1600,2100,White,MAIA3 1600,MAIA3 2100,1600,2100,0-1,0.0,checkmate,100,50,1e291f3bf1c4180d559b85da91adb80d50b072d9681173eb1b49984378831a62,maia-relative-strength-100.pgn,maia3-1600__vs__maia3-2100.pgn
maia3-1600__vs__maia3-2100,36,18,MAIA3 1600,MAIA3 2100,1600,2100,Black,MAIA3 2100,MAIA3 1600,2100,1600,1-0,0.0,checkmate,77,39,1e291f3bf1c4180d559b85da91adb80d50b072d9681173eb1b49984378831a62,maia-relative-strength-100.pgn,maia3-1600__vs__maia3-2100.pgn
maia3-1600__vs__maia3-2100,37,19,MAIA3 1600,MAIA3 2100,1600,2100,White,MAIA3 1600,MAIA3 2100,1600,2100,1/2-1/2,0.5,stalemate,116,58,1e291f3bf1c4180d559b85da91adb80d50b072d9681173eb1b49984378831a62,maia-relative-strength-100.pgn,maia3-1600__vs__maia3-2100.pgn
maia3-1600__vs__maia3-2100,38,19,MAIA3 1600,MAIA3 2100,1600,2100,Black,MAIA3 2100,MAIA3 1600,2100,1600,1/2-1/2,0.5,insufficient material,129,65,1e291f3bf1c4180d559b85da91adb80d50b072d9681173eb1b49984378831a62,maia-relative-strength-100.pgn,maia3-1600__vs__maia3-2100.pgn
maia3-1600__vs__maia3-2100,39,20,MAIA3 1600,MAIA3 2100,1600,2100,White,MAIA3 1600,MAIA3 2100,1600,2100,0-1,0.0,checkmate,108,54,1e291f3bf1c4180d559b85da91adb80d50b072d9681173eb1b49984378831a62,maia-relative-strength-100.pgn,maia3-1600__vs__maia3-2100.pgn
maia3-1600__vs__maia3-2100,40,20,MAIA3 1600,MAIA3 2100,1600,2100,Black,MAIA3 2100,MAIA3 1600,2100,1600,1-0,0.0,checkmate,101,51,1e291f3bf1c4180d559b85da91adb80d50b072d9681173eb1b49984378831a62,maia-relative-strength-100.pgn,maia3-1600__vs__maia3-2100.pgn
maia3-1600__vs__maia3-2100,41,21,MAIA3 1600,MAIA3 2100,1600,2100,White,MAIA3 1600,MAIA3 2100,1600,2100,0-1,0.0,checkmate,100,50,1e291f3bf1c4180d559b85da91adb80d50b072d9681173eb1b49984378831a62,maia-relative-strength-100.pgn,maia3-1600__vs__maia3-2100.pgn
maia3-1600__vs__maia3-2100,42,21,MAIA3 1600,MAIA3 2100,1600,2100,Black,MAIA3 2100,MAIA3 1600,2100,1600,1-0,0.0,checkmate,89,45,1e291f3bf1c4180d559b85da91adb80d50b072d9681173eb1b49984378831a62,maia-relative-strength-100.pgn,maia3-1600__vs__maia3-2100.pgn
maia3-1600__vs__maia3-2100,43,22,MAIA3 1600,MAIA3 2100,1600,2100,White,MAIA3 1600,MAIA3 2100,1600,2100,1/2-1/2,0.5,threefold repetition,130,65,1e291f3bf1c4180d559b85da91adb80d50b072d9681173eb1b49984378831a62,maia-relative-strength-100.pgn,maia3-1600__vs__maia3-2100.pgn
